radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,
UMTS,452,2,10221,66984788,6,105.86,202.779,1000,32,1,1470397381,1703325842,0
UMTS,452,2,10221,67006096,254,1.058.672,202.809,1000,15,1,1470397381,1703325842,0
GSM,452,2,254,54142,0,1.067.161,10.7716,2746,17,1,1470509249,1739443743,0
GSM,452,4,20506,26741,0,1.067.414,10.7805,1560,49,1,1470486318,1735808510,0
UMTS,452,2,33521,219677073,381,1.083.538,158.979,1000,2,1,1471244797,1749636726,0
UMTS,452,2,33521,219677134,395,1.083.532,158.879,1474,8,1,1471698824,1749636726,0
GSM,452,4,20506,35273,0,1.066.984,10.7634,1000,17,1,1472839637,1744431901,0
UMTS,452,1,13002,78720918,179,1.058.371,21.035,1000,4,1,1478653478,1712468102,0
UMTS,452,1,13002,78719917,103,1.058.397,210.334,1000,2,1,1478610088,1712468102,0
GSM,452,1,20090,32051,0,1.068.075,10.7922,1000,21,1,1479544221,1747672381,0
GSM,452,1,20090,32152,0,1.068.182,10.7932,1630,21,1,1479544221,1749673022,0
GSM,452,1,20090,32662,0,106.816,10.786,1000,23,1,1479544218,1748718001,0
GSM,452,1,20090,32421,0,1.067.973,10.7931,842,25,1,1479567924,1747670462,0
GSM,452,1,20090,32622,0,1.068.104,10.7825,1000,23,1,1479544215,1749413161,0
GSM,452,1,20090,32182,0,1.067.921,10.7893,1412,50,1,1479567924,1735232882,0
GSM,452,1,20090,32053,0,1.068.027,10.7918,984,50,1,1479544203,1735232222,0
UMTS,452,1,13002,78726338,157,1.058.401,210.381,1000,2,1,1480059254,1712468102,0
GSM,452,4,31231,11831,0,1.082.361,160.771,1132,2,1,1481542162,1744171741,0
UMTS,452,4,61020,157894702,368,1.082.028,160.534,1000,5,1,1486875735,1744239661,0
UMTS,452,1,55002,33595434,173,1.070.905,208.524,2263,15,1,1489926527,1703501343,0
UMTS,452,1,13002,78719437,138,1.058.392,210.363,1000,6,1,1490090485,1712468102,0
GSM,452,4,20608,65183,0,106.645,11.0599,1546,45,1,1490266523,1738381214,0
GSM,452,4,20608,44980,0,1.066.496,11.0421,1805,36,1,1490266523,1738381212,0
GSM,452,4,20608,63456,0,106.647,11.0799,1763,11,1,1490266523,1738381214,0
GSM,452,4,20608,56415,0,1.066.447,11.0672,1487,41,1,1490266523,1738381214,0
UMTS,452,1,55002,33595437,173,1.070.914,208.494,2589,28,1,1490500005,1703501343,0
GSM,452,4,20603,1948,-1,1.066.043,11.1373,1000,15,1,1492540200,1738381219,0
LTE,452,1,36011,30737675,0,1.082.286,160.684,2638,7,1,1505303744,1736216942,0
LTE,452,1,62200,136265229,0,106.678,11.2011,1000,8,1,1505300486,1738381209,0
LTE,452,2,1140,28225548,0,1.058.101,210.229,1000,5,1,1505655577,1730908443,0
LTE,452,2,1138,28406285,0,1.058.023,210.036,1000,4,1,1505646367,1743678487,0
LTE,452,2,1133,28173581,0,1.058.151,210.189,1000,3,1,1505654630,1726744383,0
GSM,452,4,20506,35272,-1,1.066.999,10.7614,1000,17,1,1506176483,1744431901,0
LTE,452,1,16039,25855245,0,1.058.375,210.521,1429,8,1,1506171709,1710156909,0
LTE,452,2,1147,28305164,0,1.058.475,210.342,1000,2,1,1514204667,1703251023,0
LTE,452,2,1149,28345356,0,1.058.654,21.04,1335,7,1,1514205066,1745334376,0
LTE,452,2,1149,28345357,0,1.058.594,210.386,1000,2,1,1514205074,1745334376,0
LTE,452,1,16027,25783565,0,1.058.086,212.109,1856,8,1,1520953537,1710156907,0
LTE,452,1,16027,25837069,0,1.058.324,212.028,1000,2,1,1520953688,1710156907,0
LTE,452,1,16038,25746699,0,1.058.479,210.304,1000,10,1,1521213072,1712468101,0
LTE,452,1,16038,25746701,0,1.058.473,21.031,1000,12,1,1521213100,1712468101,0
LTE,452,1,36011,30728203,0,1.082.237,160.701,1000,5,1,1542081382,1736216942,0
LTE,452,1,36011,30726156,0,1.082.222,160.716,1000,3,1,1542081642,1736216942,0
LTE,452,1,36011,30726155,0,1.082.211,160.718,1000,6,1,1542081733,1736216942,0
LTE,452,1,36011,30737677,0,1.082.207,160.741,1000,3,1,1542081832,1736216942,0
LTE,452,1,24202,29278731,0,1.066.742,10.7964,1000,8,1,1542423811,1718577497,0
LTE,452,1,24202,29265933,0,1.066.759,10.7953,1000,5,1,1542423852,1718577497,0
LTE,452,1,24202,29277453,0,1.066.796,10.7935,1000,2,1,1542436345,1718577497,0
LTE,452,1,36011,30724620,0,1.082.258,160.718,2124,11,1,1543107130,1736216942,0
LTE,452,1,36001,30723852,0,1.082.178,160.605,500,50,1,1543327962,1736216942,0
LTE,452,1,36011,30724621,0,1.082.233,160.733,1000,2,1,1543415470,1736216942,0
LTE,452,1,24032,28626956,0,1.066.841,10.7901,1000,5,1,1545295466,1738381146,0
LTE,452,1,24031,28623116,0,1.066.932,10.7858,1000,8,1,1545296269,1718577497,0
LTE,452,1,24031,28623115,0,1.066.921,10.785,1644,7,1,1545296460,1718577497,0
LTE,452,1,36011,30726157,0,1.082.202,160.715,1000,5,1,1546248066,1736216942,0
UMTS,452,2,26118,171124697,187,1.066.951,10.7289,1000,18,1,1561828421,1733033223,0
UMTS,452,2,26118,171127697,210,1.066.961,10.7287,1000,11,1,1561828434,1733033223,0
UMTS,452,2,26118,171126078,195,1.066.969,10.7284,1000,6,1,1561828446,1733033223,0
UMTS,452,2,26118,171124939,179,1.066.993,10.7285,500,35,1,1561828455,1733033223,0
UMTS,452,2,26118,171124938,178,1.067.016,10.7294,1000,20,1,1561828483,1733033223,0
UMTS,452,2,26118,171124507,184,1.067.043,10.7289,1000,20,1,1561828531,1733033223,0
UMTS,452,2,26118,171125217,54,1.067.099,10.7285,1000,23,1,1561828570,1732970645,0
UMTS,452,2,26118,171125028,502,1.067.534,10.7517,7075,21,1,1561829074,1732970643,0
UMTS,452,2,26148,171322566,268,1.067.441,10.802,1000,19,1,1561841401,1743852603,0
UMTS,452,2,26148,171321825,354,1.067.344,10.8004,1000,12,1,1561841498,1735046706,0
UMTS,452,2,26118,171125779,296,1.067.034,10.7302,1000,20,1,1561884938,1733033223,0
UMTS,452,2,26118,171124937,177,1.067.004,10.732,500,50,1,1561885006,1732970644,0
UMTS,452,2,26118,171124799,169,1.066.996,10.7384,1478,17,1,1562097207,1732970644,0
UMTS,452,2,26118,171127018,65,106.731,10.7368,1000,14,1,1562098327,1732970643,0
